Bid made: 2020/06/01 13:05:50.016713, BTC/USDT, Price: 11419.7, Amount: 2.97829e-07
Bid made: 2020/06/01 13:06:05.037498, BTC/USDT, Price: 11421.5, Amount: 2.72919e-07
Bid made: 2020/06/01 13:06:20.057713, BTC/USDT, Price: 11422.9, Amount: 2.50099e-07
Bid made: 2020/06/01 13:06:35.077034, BTC/USDT, Price: 11422.9, Amount: 2.29216e-07
Bid made: 2020/06/01 13:06:50.096812, BTC/USDT, Price: 11425.9, Amount: 2.10021e-07
Bid made: 2020/06/01 13:07:05.111856, BTC/USDT, Price: 11429.2, Amount: 1.92428e-07
Bid made: 2020/06/01 13:07:20.128610, BTC/USDT, Price: 11433.6, Amount: 1.76292e-07
Bid made: 2020/06/01 13:07:35.148320, BTC/USDT, Price: 11427, Amount: 1.61666e-07
Bid made: 2020/06/01 13:07:50.168268, BTC/USDT, Price: 11429.9, Amount: 1.48128e-07
Bid made: 2020/06/01 13:08:05.188119, BTC/USDT, Price: 11429.9, Amount: 1.3576e-07
Bid made: 2020/06/01 13:08:20.206474, BTC/USDT, Price: 11429.9, Amount: 1.24424e-07
Bid made: 2020/06/01 13:08:35.225917, BTC/USDT, Price: 11425.6, Amount: 1.14078e-07
Bid made: 2020/06/01 13:08:50.247113, BTC/USDT, Price: 11427.3, Amount: 1.04537e-07
Bid made: 2020/06/01 13:09:05.265993, BTC/USDT, Price: 11427.3, Amount: 9.58081e-08
Bid made: 2020/06/01 13:09:20.286630, BTC/USDT, Price: 11426.1, Amount: 8.78169e-08
Bid made: 2020/06/01 13:09:35.306567, BTC/USDT, Price: 11424.3, Amount: 8.04973e-08
Bid made: 2020/06/01 13:09:50.324208, ETH/BTC, Price: 0.0298047, Amount: 11.8786
Bid made: 2020/06/01 13:10:05.343659, ETH/BTC, Price: 0.0298062, Amount: 10.8862
Bid made: 2020/06/01 13:10:20.362146, ETH/BTC, Price: 0.0298047, Amount: 10.8868
Bid made: 2020/06/01 13:10:35.382479, ETH/BTC, Price: 0.0298047, Amount: 10.8868
Bid made: 2020/06/01 13:10:50.402479, ETH/BTC, Price: 0.0298047, Amount: 9.97771
Bid made: 2020/06/01 13:11:05.421589, ETH/BTC, Price: 0.0298002, Amount: 9.14596
Bid made: 2020/06/01 13:12:20.514894, ETH/BTC, Price: 0.0298053, Amount: 9.14439
Bid made: 2020/06/01 13:12:35.534392, ETH/BTC, Price: 0.0298053, Amount: 8.38083
